,price,code,CLOSE,OPEN
2015-01-01,3000.0,000300.SH,3000.0,3000.0
2015-01-02,2998.1177114851516,000300.SH,2998.1177114851516,2998.1177114851516
2015-01-05,3023.4548345589537,000300.SH,3023.4548345589537,3023.4548345589537
2015-01-06,3081.821851809754,000300.SH,3081.821851809754,3081.821851809754
2015-01-07,3081.005308366887,000300.SH,3081.005308366887,3081.005308366887
2015-01-08,3075.6122874435378,000300.SH,3075.6122874435378,3075.6122874435378
2015-01-09,3134.444695000411,000300.SH,3134.444695000411,3134.444695000411
2015-01-12,3171.367221153662,000300.SH,3171.367221153662,3171.367221153662
2015-01-13,3159.870485879733,000300.SH,3159.870485879733,3159.870485879733
2015-01-14,3182.1744540150685,000300.SH,3182.1744540150685,3182.1744540150685
2015-01-15,3170.1821448875166,000300.SH,3170.1821448875166,3170.1821448875166
2015-01-16,3155.610341650774,000300.SH,3155.610341650774,3155.610341650774
2015-01-19,3166.243033419017,000300.SH,3166.243033419017,3166.243033419017
2015-01-20,3103.2179783714882,000300.SH,3103.2179783714882,3103.2179783714882
2015-01-21,3037.5221442284487,000300.SH,3037.5221442284487,3037.5221442284487
2015-01-22,3013.892112978017,000300.SH,3013.892112978017,3013.892112978017
2015-01-23,2977.7517313601256,000300.SH,2977.7517313601256,2977.7517313601256
2015-01-26,2989.3256711359004,000300.SH,2989.3256711359004,2989.3256711359004
2015-01-27,2961.056233190016,000300.SH,2961.056233190016,2961.056233190016
2015-01-28,2912.514243026853,000300.SH,2912.514243026853,2912.514243026853
2015-01-29,2964.06229207735,000300.SH,2964.06229207735,2964.06229207735
2015-01-30,2962.822655826378,000300.SH,2962.822655826378,2962.822655826378
2015-02-02,2968.1114821029155,000300.SH,2968.1114821029155,2968.1114821029155
2015-02-03,2922.078726122044,000300.SH,2922.078726122044,2922.078726122044
2015-02-04,2902.1406833485303,000300.SH,2902.1406833485303,2902.1406833485303
2015-02-05,2907.2814799115217,000300.SH,2907.2814799115217,2907.2814799115217
2015-02-06,2871.9792375892657,000300.SH,2871.9792375892657,2871.9792375892657
2015-02-09,2884.7824356954743,000300.SH,2884.7824356954743,2884.7824356954743
2015-02-10,2868.693063160414,000300.SH,2868.693063160414,2868.693063160414
2015-02-11,2860.6902624805343,000300.SH,2860.6902624805343,2860.6902624805343
2015-02-12,2843.485036135953,000300.SH,2843.485036135953,2843.485036135953
2015-02-13,2905.0050255734855,000300.SH,2905.0050255734855,2905.0050255734855
2015-02-16,2912.4201932640376,000300.SH,2912.4201932640376,2912.4201932640376
2015-02-17,2879.8840770075785,000300.SH,2879.8840770075785,2879.8840770075785
2015-02-18,2908.369329765627,000300.SH,2908.369329765627,2908.369329765627
2015-02-19,2871.975707892911,000300.SH,2871.975707892911,2871.975707892911
2015-02-20,2879.1413392975523,000300.SH,2879.1413392975523,2879.1413392975523
2015-02-23,2817.3469000488453,000300.SH,2817.3469000488453,2817.3469000488453
